Prebivalstvo po velikih in petletnih starostnih skupinah in spolu, statistiène regije, Slovenija, letno;;;;;;;;;;;;
;;;;;;;;;;;;
SPOL;STATISTIÈNA REGIJA;2010 Starost - SKUPAJ;2011 Starost - SKUPAJ;2012 Starost - SKUPAJ;2013 Starost - SKUPAJ;2014 Starost - SKUPAJ;2015 Starost - SKUPAJ;2016 Starost - SKUPAJ;2017 Starost - SKUPAJ;2018 Starost - SKUPAJ;2019 Starost - SKUPAJ;2020 Starost - SKUPAJ
Spol - SKUPAJ;SLOVENIJA;2046976;2050189;2055496;2058821;2061085;2062874;2064188;2065895;2066880;2080908;2095861
Spol - SKUPAJ;Pomurska;119548;119145;118988;118022;117133;116670;116078;115477;114776;114287;114238
Spol - SKUPAJ;Podravska;323343;323119;323534;323238;323328;323356;322553;322043;322058;324104;325994
Spol - SKUPAJ;Koroška;72812;72494;72364;72100;71546;71303;71040;70761;70550;70588;70755
Spol - SKUPAJ;Savinjska;260025;259726;260253;260217;259853;253975;254318;254761;254760;256359;257847
Spol - SKUPAJ;Zasavska;44706;44222;43926;43502;42983;57711;57404;57280;57061;56962;57156
Spol - SKUPAJ;Posavska;70192;70167;70164;70211;69958;75619;75711;75544;75359;75559;75824
Spol - SKUPAJ;Jugovzhodna Slovenija;142092;142483;142680;142509;142405;142373;142566;142711;142819;144032;145357
Spol - SKUPAJ;Osrednjeslovenska;529646;533213;536484;541718;546314;534518;537023;539672;542306;549171;555274
Spol - SKUPAJ;Gorenjska;202903;203427;204057;203984;203894;203850;203838;203800;203636;204670;206621
Spol - SKUPAJ;Primorsko-notranjska;52217;52287;52387;52382;52449;52538;52523;52582;52334;52544;52841
Spol - SKUPAJ;Goriška;119080;119146;119236;119002;118374;118188;118064;117747;117260;117616;118041
Spol - SKUPAJ;Obalno-kraška;110412;110760;111423;111936;112848;112773;113070;113517;113961;115016;115913
